Title,Description,Question Type,Question,All Answers,Hint,Created Date,Last Modified
Basic Dutch Colors,Learn essential Dutch color vocabulary,Multiple Choice,What is the Dutch word for 'red'?,"blauw [WRONG]; rood [CORRECT]; groen [WRONG]; geel [WRONG]",Think of a rose,Jan 15 2024 2:30 PM,Jan 15 2024 2:30 PM
Basic Dutch Colors,Learn essential Dutch color vocabulary,Multiple Choice,What is the Dutch word for 'blue'?,"blauw [CORRECT]; rood [WRONG]; wit [WRONG]; zwart [WRONG]",Think of the sky,Jan 15 2024 2:30 PM,Jan 15 2024 2:30 PM
Basic Dutch Colors,Learn essential Dutch color vocabulary,True/False,The Dutch word for yellow is 'geel',"True [CORRECT]; False [WRONG]",Yellow like cheese,Jan 15 2024 2:30 PM,Jan 15 2024 2:30 PM
Dutch Greetings,Common greetings and polite expressions,Multiple Choice,How do you say 'good morning' in Dutch?,"goedemorgen [CORRECT]; goedemiddag [WRONG]; goedenavond [WRONG]; welterusten [WRONG]",Morning greeting,Jan 15 2024 2:30 PM,Jan 15 2024 2:30 PM
Dutch Greetings,Common greetings and polite expressions,Multiple Choice,What does 'dank je wel' mean?,"hello [WRONG]; goodbye [WRONG]; thank you [CORRECT]; excuse me [WRONG]",Expression of gratitude,Jan 15 2024 2:30 PM,Jan 15 2024 2:30 PM
Sentence Building Practice,Practice building Dutch sentences,Sentence Building,"Put these words in order to say 'I eat cheese'","Ik (1); eet (2); kaas (3)","Subject, verb, object",Jan 15 2024 2:30 PM,Jan 15 2024 2:30 PM
Sentence Building Practice,Practice building Dutch sentences,Sentence Building,"Put these words in order to say 'The cat sleeps'","De (1); kat (2); slaapt (3)",Article + noun + verb,Jan 15 2024 2:30 PM,Jan 15 2024 2:30 PM
Sentence Building Practice,Practice building Dutch sentences,Sentence Building,"Put these words in order to say 'I have a book'","Ik (1); heb (2); een (3); boek (4)",Possession with article,Jan 15 2024 2:30 PM,Jan 15 2024 2:30 PM
Family Members,Dutch words for family relationships,Multiple Choice,What is the Dutch word for 'mother'?,"vader [WRONG]; moeder [CORRECT]; broer [WRONG]; zus [WRONG]",Female parent,Jan 15 2024 2:30 PM,Jan 15 2024 2:30 PM
Family Members,Dutch words for family relationships,Multiple Choice,What is the Dutch word for 'brother'?,"broer [CORRECT]; zus [WRONG]; oom [WRONG]; tante [WRONG]",Male sibling,Jan 15 2024 2:30 PM,Jan 15 2024 2:30 PM
Family Members,Dutch words for family relationships,Fill in Blank,My ___ is very kind (sister),"zus [CORRECT]; broer [WRONG]; moeder [WRONG]; vader [WRONG]",Female sibling,Jan 15 2024 2:30 PM,Jan 15 2024 2:30 PM 
