Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Chapter 3 > 3.1,Bedrag,Amount,,,,,,,,,,,
Chapter 3 > 3.1,bijeenkomst,Meeting,,,,,,,,,,,
Chapter 3 > 3.1,blad,Leaf,,,,,,,,,,,
Chapter 3 > 3.1,Dak,roof,,,,,,,,,,,
Chapter 3 > 3.1,eigenlijk,Actually,,,,,,,,,,,
Chapter 3 > 3.1,geschikt,Suitable,,,,,,,,,,,
Chapter 3 > 3.1,getuige,Witness,,,,,,,,,,,
Chapter 3 > 3.1,gezamenlijk,Together,,,,,,,,,,,
Chapter 3 > 3.1,inbreken,Commit burglary,,,,,,,,,,,
Chapter 3 > 3.1,kruiwagen,Wheelbarrow,,,,,,,,,,,
Chapter 3 > 3.1,lantaarnpaal,Lamppost,,,,,,,,,,,
Chapter 3 > 3.1,mededeling,Announcement,,,,,,,,,,,
Chapter 3 > 3.1,meedoen,Join,,,,,,,,,,,
Chapter 3 > 3.1,nuttig,Useful Handy,,,,,,,,,,,
Chapter 3 > 3.1,ongerust,Worried,,,,,,,,,,,
Chapter 3 > 3.1,overkant,Across the street,,,,,,,,,,,
Chapter 3 > 3.1,slachtoffer,Victim,,,,,,,,,,,
Chapter 3 > 3.1,Verslag,Report,,,,,,,,,,,
Chapter 3 > 3.1,Zijkant,Side,,,,,,,,,,,
Chapter 3 > 3.1,Zomaar,Out of the blue Suddenly (for no reason),,,,,,,,,,,
