Word,Exercise Type,Question,Correct Answer,Options,Explanation
sollicitatie,Multiple Choice,What does sollicitatie mean?,job application,job application|interview|meeting|contract,A formal request for employment
sollicitatie,Fill in Blank,Ik heb een _____ ingediend.,sollicitatie,sollicitatie|gesprek|afspraak|contract,I have submitted a job application.
werkgever,Multiple Choice,What does werkgever mean?,employer,employer|employee|worker|manager,The person or company that provides work
werkgever,Sentence Building,Translate My employer is fair,mijn werkgever is eerlijk,mijn;werkgever;is;eerlijk,My employer is fair.
werknemer,Multiple Choice,What does werknemer mean?,employee,employee|employer|boss|manager,A person who works for a company
werknemer,Fill in Blank,De _____ zijn tevreden.,werknemers,werknemers|werkgevers|bazen|managers,The employees are satisfied.
salaris,Multiple Choice,What does salaris mean?,salary,salary|wage|payment|income,Regular payment for work
salaris,Fill in Blank,Mijn _____ is goed.,salaris,salaris|loon|betaling|inkomen,My salary is good.
functie,Multiple Choice,What does functie mean?,position/job role,position/job role|work|task|duty,A specific job or role in a company
functie,Fill in Blank,Deze _____ past bij mij.,functie,functie|werk|taak|plicht,This position suits me.
afdeling,Multiple Choice,What does afdeling mean?,department,department|section|team|group,A division of a company
afdeling,Fill in Blank,De _____ is groot.,afdeling,afdeling|sectie|team|groep,The department is large.
collega,Multiple Choice,What does collega mean?,colleague,colleague|friend|boss|client,A person you work with
collega,Sentence Building,Translate My colleague is helpful,mijn collega is behulpzaam,mijn;collega;is;behulpzaam,My colleague is helpful.
vergadering,Multiple Choice,What does vergadering mean?,meeting,meeting|appointment|conference|discussion,A formal gathering to discuss work
vergadering,Fill in Blank,De _____ is om 10 uur.,vergadering,vergadering|afspraak|conferentie|bespreking,The meeting is at 10 o'clock.
project,Multiple Choice,What does project mean?,project,project|task|work|assignment,A specific piece of work with a goal
project,Fill in Blank,Het _____ is bijna klaar.,project,project|taak|werk|opdracht,The project is almost finished.
deadline,Multiple Choice,What does deadline mean?,deadline,deadline|date|time|limit,The final date something must be completed
deadline,Fill in Blank,De _____ is volgende week.,deadline,deadline|datum|tijd|limiet,The deadline is next week.
kantoor,Multiple Choice,What does kantoor mean?,office,office|room|building|space,A place where people work
kantoor,Sentence Building,Translate The office is modern,het kantoor is modern,het;kantoor;is;modern,The office is modern.
werkdag,Multiple Choice,What does werkdag mean?,workday,workday|day|week|time,A day when you work
werkdag,Fill in Blank,De _____ is lang.,werkdag,werkdag|dag|week|tijd,The workday is long.
overuren,Multiple Choice,What does overuren mean?,overtime,overtime|extra time|bonus time|free time,Extra hours worked beyond normal schedule
overuren,Fill in Blank,Ik werk veel _____.,overuren,overuren|extra tijd|bonus tijd|vrije tijd,I work a lot of overtime.
promotie,Multiple Choice,What does promotie mean?,promotion,promotion|raise|bonus|reward,Advancement to a higher position
promotie,Fill in Blank,Ik hoop op een _____.,promotie,promotie|verhoging|bonus|beloning,I hope for a promotion.
ontslag,Multiple Choice,What does ontslag mean?,dismissal/layoff,dismissal/layoff|resignation|retirement|vacation,Being let go from a job
ontslag,Fill in Blank,Hij kreeg _____.,ontslag,ontslag|ontslag;ontslag;ontslag;ontslag,He was dismissed.
