Deck,Word,Definition,Exercise Type,Question,Options,Explanation
2.1,Kant-en-klaar,Ready Made,multipleChoice,What does 'Kant-en-klaar' mean?,"Ready Made,Almost ready,Not ready,Very ready","Kant-en-klaar means 'ready made' - something that is already prepared and ready to use"
2.1,Mager,Thin,translation,How do you say 'thin' in Dutch?,"Mager,Dun,Slank,Dik","Mager means 'thin' in Dutch"
2.1,Minstens,At least,translation,How do you say 'at least' in Dutch?,"Minstens,Tenminste,Minimaal,Althans","Minstens means 'at least' in Dutch"
2.1,Ontspannen,Relax Unwind,translation,How do you say 'relax' in Dutch?,"Ontspannen,Rustig,Kalm,Ontspan","Ontspannen means 'relax' or 'unwind' in Dutch"
2.1,Schreeuwen,Shout Yell Scream,multipleChoice,What does 'Schreeuwen' mean?,"Shout Yell Scream,Speak loudly,Talk quietly,Whisper","Schreeuwen means to shout, yell, or scream"
2.1,Slikken,Swallow,translation,How do you say 'swallow' in Dutch?,"Slikken,Slik,Slokken,Drinken","Slikken means 'to swallow' in Dutch"
2.1,Verwennen,To spoil,translation,How do you say 'to spoil' in Dutch?,"Verwennen,Bederven,Verpesten,Verwennen","Verwennen means 'to spoil' someone (treat them too well)"
2.1,Voeding,Food Nutritional,multipleChoice,What does 'Voeding' mean?,"Food Nutritional,Feeding,Nutrition,Meal","Voeding means 'food' or 'nutritional' in Dutch"
2.1,Wisselt,To change To alternate,translation,How do you say 'to change' in Dutch?,"Wisselt,Veranderen,Wijzigen,Anderen","Wisselt means 'to change' or 'to alternate' in Dutch"
2.2,Aanvallen,To attack,translation,How do you say 'to attack' in Dutch?,"Aanvallen,Aanval,Aanvallend,Aangevallen","Aanvallen means 'to attack' in Dutch"
2.2,ademen,to breathe,translation,How do you say 'to breathe' in Dutch?,"ademen,adem,ademhaling,ademend","ademen means 'to breathe' in Dutch"
2.2,behandelen,to treat/to handle,multipleChoice,What does 'behandelen' mean?,"to treat/to handle,to help,to care for,to manage","behandelen means 'to treat' or 'to handle' in Dutch"
2.2,benauwd,stuffy/breathless,translation,How do you say 'stuffy' in Dutch?,"benauwd,benauw,benauwdheid,benauwend","benauwd means 'stuffy' or 'breathless' in Dutch"
2.2,Beschadigd,Damage,multipleChoice,What does 'Beschadigd' mean?,"Damage,Damaged,Harm,Injury","Beschadigd means 'damage' in Dutch"
2.2,gehoorbescherming,hearing protection,translation,How do you say 'hearing protection' in Dutch?,"gehoorbescherming,gehoor,bescherming,bescherm","gehoorbescherming means 'hearing protection' in Dutch"
2.2,genezen,Heal Cure Recover,translation,How do you say 'to heal' in Dutch?,"genezen,genezing,geneest,genezen","genezen means 'to heal', 'to cure', or 'to recover' in Dutch"
2.2,grenzen,borders/limits,translation,How do you say 'borders' in Dutch?,"grenzen,grens,grensgebied,grensland","grenzen means 'borders' or 'limits' in Dutch"
