Word,Exercise Type,Question,Correct Answer,Options,Explanation
bovendien,Multiple Choice,What does bovendien mean?,moreover / besides,moreover / besides|additionally|however|therefore,Used to add additional information to what was already said
bovendien,Multiple Choice,Translate: Bovendien is het een goede kwaliteit.,Moreover it is a good quality,Moreover it is a good quality|Besides it is a good quality|Additionally it is a good quality|However it is a good quality,Used to add extra information
daarvoor,Multiple Choice,What does daarvoor mean?,beforehand,beforehand|afterwards|during|meanwhile,Means before that or beforehand
daarvoor,Fill in Blank,Ik heb _____ al gewaarschuwd.,daarvoor,daarvoor|daarna|daartussen|daarnaast,Used to indicate something happened before a specific event
fysiek,Multiple Choice,What does fysiek mean?,physical,physical|mental|emotional|spiritual,Related to the body or physical activity
fysiek,Multiple Choice,Translate: Het is een fysiek zware baan.,It is a physically heavy job,It is a physically heavy job|It is a mentally heavy job|It is an emotionally heavy job|It is a spiritually heavy job,Describes physical characteristics or requirements
persoonlijkheid,Multiple Choice,What does persoonlijkheid mean?,personality,personality|character|behavior|attitude,Character traits of a person
persoonlijkheid,Fill in Blank,Zijn _____ past goed bij het team.,persoonlijkheid,persoonlijkheid|karakter|gedrag|houding,Refers to someone's individual character traits
stressbestendig,Multiple Choice,What does stressbestendig mean?,stress resistant,stress resistant|stressful|stressed|stressful situation,Able to handle stress well
stressbestendig,Multiple Choice,Translate: Ze is erg stressbestendig in moeilijke situaties.,She is very stress resistant in difficult situations,She is very stress resistant in difficult situations|She is very stressed in difficult situations|She is very stressful in difficult situations|She is very stress free in difficult situations,Describes ability to handle pressure
vaardigheid,Multiple Choice,What does vaardigheid mean?,skill / ability,skill / ability|knowledge|experience|talent,A learned ability or competence
vaardigheid,Fill in Blank,Ze heeft uitstekende communicatieve _____.,vaardigheden,vaardigheden|kennis|ervaring|talenten,Plural form of skill/ability
vestiging,Multiple Choice,What does vestiging mean?,branch / establishment,branch / establishment|building|office|company,A business location or branch
vestiging,Multiple Choice,Translate: De nieuwe vestiging opent volgende week.,The new branch opens next week,The new branch opens next week|The new building opens next week|The new office opens next week|The new company opens next week,Refers to a business location
flexibel,Multiple Choice,What does flexibel mean?,flexible,flexible|rigid|strict|fixed,Able to adapt or change easily
flexibel,Fill in Blank,We hebben een _____ werkschema.,flexibel,flexibel|rigide|streng|vast,Describes adaptability in work arrangements
gemotiveerd,Multiple Choice,What does gemotiveerd mean?,motivated,motivated|demotivated|uninterested|lazy,Having strong drive or enthusiasm
gemotiveerd,Multiple Choice,Translate: De kandidaten zijn erg gemotiveerd.,The candidates are very motivated,The candidates are very motivated|The candidates are very demotivated|The candidates are very uninterested|The candidates are very lazy,Describes someone's enthusiasm and drive
kandidaat,Multiple Choice,What does kandidaat mean?,candidate,candidate|applicant|employee|worker,A person applying for a position
kandidaat,Fill in Blank,Er zijn veel _____ voor deze functie.,kandidaten,kandidaten|sollicitanten|werknemers|medewerkers,Plural form of candidate
kwaliteit,Multiple Choice,What does kwaliteit mean?,quality,quality|quantity|price|value,The standard or level of excellence
kwaliteit,Multiple Choice,Translate: De kwaliteit van het werk is uitstekend.,The quality of the work is excellent,The quality of the work is excellent|The quantity of the work is excellent|The price of the work is excellent|The value of the work is excellent,Refers to the standard of something
magazijn,Multiple Choice,What does magazijn mean?,warehouse,warehouse|store|shop|market,A storage building for goods
magazijn,Fill in Blank,Het _____ is vol met producten.,magazijn,magazijn|winkel|winkel|markt,Refers to a storage facility
overtuigen,Multiple Choice,What does overtuigen mean?,convince,convince|persuade|argue|discuss,To persuade someone
overtuigen,Multiple Choice,Translate: Ik probeer hem te overtuigen om te komen.,I try to convince him to come,I try to convince him to come|I try to persuade him to come|I try to argue him to come|I try to discuss him to come,To persuade someone to do something
plannen,Multiple Choice,What does plannen mean?,plan,plan|organize|arrange|prepare,To make arrangements or plans
plannen,Fill in Blank,We moeten de details nog _____.,plannen,plannen|organiseren|regelen|voorbereiden,To make plans or arrangements
praktisch,Multiple Choice,What does praktisch mean?,practical,practical|theoretical|ideal|perfect,Useful and realistic
praktisch,Multiple Choice,Translate: Het is een praktische oplossing.,It is a practical solution,It is a practical solution|It is a theoretical solution|It is an ideal solution|It is a perfect solution,Describes something that is useful and realistic
toevoegen,Multiple Choice,What does toevoegen mean?,add / include,add / include|remove|subtract|exclude,To add something to existing content
toevoegen,Fill in Blank,Ik ga wat informatie _____ aan het rapport.,toevoegen,toevoegen|verwijderen|aftrekken|uitsluiten,To add information to something
uitstekend,Multiple Choice,What does uitstekend mean?,excellent,excellent|good|average|poor,Very good or outstanding
uitstekend,Multiple Choice,Translate: Ze heeft een uitstekende prestatie geleverd.,She has delivered an excellent performance,She has delivered an excellent performance|She has delivered a good performance|She has delivered an average performance|She has delivered a poor performance,Describes something of very high quality
voorkomen,Multiple Choice,What does voorkomen mean?,to prevent / to occur,to prevent / to occur|to happen|to stop|to start,Can mean both prevent and occur depending on context
voorkomen,Fill in Blank,We moeten dit probleem _____.,voorkomen,voorkomen|gebeuren|stoppen|beginnen,To prevent something from happening
zo'n,Multiple Choice,What does zo'n mean?,such a,such a|so much|so many|so little,Means such a or such an
zo'n,Multiple Choice,Translate: Zij is zo'n gemotiveerde werknemer.,She is such a motivated employee,She is such a motivated employee|She is so much motivated employee|She is so many motivated employee|She is so little motivated employee,Used to emphasize a quality
