Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Dutch Basics,appel,apple,Ik eet een rode appel.,de,appels,,,,,,,,
Dutch Basics,auto,car,Ik rijd in een nieuwe auto.,de,auto's,,,,,,,,
Dutch Basics,boek,book,Ik lees een interessant boek.,het,boeken,,,,,,,,
Dutch Basics,brood,bread,Ik eet vers brood.,het,broden,,,,,,,,
Dutch Basics,doen,to do,Wat doe je vandaag?,,,deed,zal doen,gedaan,,,,,
Dutch Basics,fiets,bicycle,Ik fiets naar school.,de,fietsen,,,,,,,,
Dutch Basics,gaan,to go,Ik ga naar huis.,,,ging,zal gaan,gegaan,,,,,
Dutch Basics,hebben,to have,Ik heb een hond.,,,had,zal hebben,gehad,,,,,
Dutch Basics,hond,dog,Mijn hond heet Max.,de,honden,,,,,,,,
Dutch Basics,huis,house,Ik woon in een groot huis.,het,huizen,,,,,,,,
Dutch Basics,kaas,cheese,Ik hou van Nederlandse kaas.,de,kazen,,,,,,,,
Dutch Basics,kat,cat,De kat slaapt op de bank.,de,katten,,,,,,,,
Dutch Basics,kind,child,Het kind speelt in de tuin.,het,kinderen,,,,,,,,
Dutch Basics,komen,to come,Kom je naar het feest?,,,kwam,zal komen,gekomen,,,,,
Dutch Basics,man,man,Die man is mijn vader.,de,mannen,,,,,,,,
Dutch Basics,melk,milk,Ik drink melk bij het ontbijt.,de,melken,,,,,,,,
Dutch Basics,school,school,Mijn kinderen gaan naar school.,de,scholen,,,,,,,,
Dutch Basics,vrouw,woman,Die vrouw is mijn moeder.,de,vrouwen,,,,,,,,
Dutch Basics,water,water,Ik drink veel water.,het,waters,,,,,,,,
Dutch Basics,zijn,to be,Ik ben student.,,,was,zal zijn,geweest,,,,,
