Deck,Word,Definition,Exercise Type,Question,Options,Explanation
Chapter 5.2,bovendien,moreover / besides,Multiple Choice,What does "bovendien" mean?,moreover / besides|additionally|however|therefore,Used to add additional information to what was already said
Chapter 5.2,bovendien,moreover / besides,Translation,Translate: "Bovendien is het een goede kwaliteit.",Moreover it is a good quality|Besides it is a good quality|Additionally it is a good quality|However it is a good quality,Used to add extra information
Chapter 5.2,daarvoor,beforehand,Multiple Choice,What does "daarvoor" mean?,beforehand|afterwards|during|meanwhile,Means "before that" or "beforehand"
Chapter 5.2,daarvoor,beforehand,Fill in the Blank,Ik heb _____ al gewaarschuwd.,daarvoor|daarna|daartussen|daarnaast,Used to indicate something happened before a specific event
Chapter 5.2,fysiek,physical,Multiple Choice,What does "fysiek" mean?,physical|mental|emotional|spiritual,Related to the body or physical activity
Chapter 5.2,fysiek,physical,Translation,Translate: "Het is een fysiek zware baan.",It is a physically heavy job|It is a mentally heavy job|It is an emotionally heavy job|It is a spiritually heavy job,Describes physical characteristics or requirements
Chapter 5.2,persoonlijkheid,personality,Multiple Choice,What does "persoonlijkheid" mean?,personality|character|behavior|attitude,Character traits of a person
Chapter 5.2,persoonlijkheid,personality,Fill in the Blank,Zijn _____ past goed bij het team.,persoonlijkheid|karakter|gedrag|houding,Refers to someone's individual character traits
Chapter 5.2,stressbestendig,stress resistant,Multiple Choice,What does "stressbestendig" mean?,stress resistant|stressful|stressed|stressful situation,Able to handle stress well
Chapter 5.2,stressbestendig,stress resistant,Translation,Translate: "Ze is erg stressbestendig in moeilijke situaties.",She is very stress resistant in difficult situations|She is very stressed in difficult situations|She is very stressful in difficult situations|She is very stress free in difficult situations,Describes ability to handle pressure
Chapter 5.2,vaardigheid,skill / ability,Multiple Choice,What does "vaardigheid" mean?,skill / ability|knowledge|experience|talent,A learned ability or competence
Chapter 5.2,vaardigheid,skill / ability,Fill in the Blank,Ze heeft uitstekende communicatieve _____.,vaardigheden|kennis|ervaring|talenten,Plural form of skill/ability
Chapter 5.2,vestiging,branch / establishment,Multiple Choice,What does "vestiging" mean?,branch / establishment|building|office|company,A business location or branch
Chapter 5.2,vestiging,branch / establishment,Translation,Translate: "De nieuwe vestiging opent volgende week.",The new branch opens next week|The new building opens next week|The new office opens next week|The new company opens next week,Refers to a business location
Chapter 5.2,flexibel,flexible,Multiple Choice,What does "flexibel" mean?,flexible|rigid|strict|fixed,Able to adapt or change easily
Chapter 5.2,flexibel,flexible,Fill in the Blank,We hebben een _____ werkschema.,flexibel|rigide|streng|vast,Describes adaptability in work arrangements
Chapter 5.2,gemotiveerd,motivated,Multiple Choice,What does "gemotiveerd" mean?,motivated|demotivated|uninterested|lazy,Having strong drive or enthusiasm
Chapter 5.2,gemotiveerd,motivated,Translation,Translate: "De kandidaten zijn erg gemotiveerd.",The candidates are very motivated|The candidates are very demotivated|The candidates are very uninterested|The candidates are very lazy,Describes someone's enthusiasm and drive
Chapter 5.2,kandidaat,candidate,Multiple Choice,What does "kandidaat" mean?,candidate|applicant|employee|worker,A person applying for a position
Chapter 5.2,kandidaat,candidate,Fill in the Blank,Er zijn veel _____ voor deze functie.,kandidaten|sollicitanten|werknemers|medewerkers,Plural form of candidate
Chapter 5.2,kwaliteit,quality,Multiple Choice,What does "kwaliteit" mean?,quality|quantity|price|value,The standard or level of excellence
Chapter 5.2,kwaliteit,quality,Translation,Translate: "De kwaliteit van het werk is uitstekend.",The quality of the work is excellent|The quantity of the work is excellent|The price of the work is excellent|The value of the work is excellent,Refers to the standard of something
Chapter 5.2,magazijn,warehouse,Multiple Choice,What does "magazijn" mean?,warehouse|store|shop|market,A storage building for goods
Chapter 5.2,magazijn,warehouse,Fill in the Blank,Het _____ is vol met producten.,magazijn|winkel|winkel|markt,Refers to a storage facility
Chapter 5.2,overtuigen,convince,Multiple Choice,What does "overtuigen" mean?,convince|persuade|argue|discuss,To persuade someone
